order_id,order_date,customer_name,city,state,segment,product_name,category,quantity,price,sales_amount,ship_date,delivery_date,delivery_status
1,2026-01-28,"Alexandra Ball",Dillonborough,Virginia,Retail,Bookshelf,Furniture,3,16782.00,50346.00,2026-01-29,2026-02-04,"In Transit"
1,2026-01-28,"Alexandra Ball",Dillonborough,Virginia,Retail,Desk,Furniture,3,28175.00,84525.00,2026-01-29,2026-02-04,"In Transit"
2,2025-10-03,"Angela Gay",Antoniofurt,"West Virginia",Retail,T-Shirt,Clothing,3,841.00,2523.00,2025-10-07,2025-10-14,Delivered
3,2025-08-31,"Willie Ramirez","South Jose",Wyoming,Retail,Jeans,Clothing,3,2876.00,8628.00,2025-09-03,2025-09-09,Delivered
4,2025-11-14,"Paul Johnson",Jeremiahchester,Missouri,Wholesale,Webcam,Electronics,1,32674.00,32674.00,2025-11-15,2025-11-17,Delivered
4,2025-11-14,"Paul Johnson",Jeremiahchester,Missouri,Wholesale,T-Shirt,Clothing,5,4355.00,21775.00,2025-11-15,2025-11-17,Delivered
4,2025-11-14,"Paul Johnson",Jeremiahchester,Missouri,Wholesale,"File Folder",Office,4,2621.00,10484.00,2025-11-15,2025-11-17,Delivered
5,2025-10-25,"Aaron Mayo","Port Heidi",Kentucky,Corporate,Monitor,Electronics,1,32830.00,32830.00,2025-10-28,2025-11-03,Delivered
5,2025-10-25,"Aaron Mayo","Port Heidi",Kentucky,Corporate,Printer,Electronics,4,40133.00,160532.00,2025-10-28,2025-11-03,Delivered
5,2025-10-25,"Aaron Mayo","Port Heidi",Kentucky,Corporate,T-Shirt,Clothing,2,4355.00,8710.00,2025-10-28,2025-11-03,Delivered
5,2025-10-25,"Aaron Mayo","Port Heidi",Kentucky,Corporate,Bookshelf,Furniture,4,16782.00,67128.00,2025-10-28,2025-11-03,Delivered
6,2025-08-02,"Robert Ford",Dianeside,Delaware,Wholesale,Stapler,Office,4,2866.00,11464.00,2025-08-06,2025-08-08,Delivered
6,2025-08-02,"Robert Ford",Dianeside,Delaware,Wholesale,Printer,Electronics,1,51244.00,51244.00,2025-08-06,2025-08-08,Delivered
6,2025-08-02,"Robert Ford",Dianeside,Delaware,Wholesale,Printer,Electronics,4,51244.00,204976.00,2025-08-06,2025-08-08,Delivered
7,2025-09-22,"Rebecca Estrada",Rodriguezborough,Illinois,Online,Table,Furniture,5,28270.00,141350.00,2025-09-23,2025-09-30,"In Transit"
7,2025-09-22,"Rebecca Estrada",Rodriguezborough,Illinois,Online,Printer,Electronics,1,51244.00,51244.00,2025-09-23,2025-09-30,"In Transit"
7,2025-09-22,"Rebecca Estrada",Rodriguezborough,Illinois,Online,Laptop,Electronics,2,36605.00,73210.00,2025-09-23,2025-09-30,"In Transit"
8,2025-11-08,"Alicia Sanchez","East Norman",Alabama,Corporate,Table,Furniture,2,28270.00,56540.00,2025-11-12,2025-11-18,"In Transit"
8,2025-11-08,"Alicia Sanchez","East Norman",Alabama,Corporate,Mouse,Electronics,4,29816.00,119264.00,2025-11-12,2025-11-18,"In Transit"
8,2025-11-08,"Alicia Sanchez","East Norman",Alabama,Corporate,Monitor,Electronics,2,32830.00,65660.00,2025-11-12,2025-11-18,"In Transit"
9,2025-10-02,"Mathew Patel","South Seanview","New Hampshire",Retail,Cap,Clothing,5,2150.00,10750.00,2025-10-05,2025-10-11,Delivered
10,2025-09-01,"Melissa Hess",Michellechester,Kentucky,Corporate,Webcam,Electronics,2,32674.00,65348.00,2025-09-04,2025-09-11,Delivered
10,2025-09-01,"Melissa Hess",Michellechester,Kentucky,Corporate,Shoes,Clothing,4,1083.00,4332.00,2025-09-04,2025-09-11,Delivered
11,2025-12-25,"Lisa Smith","Port Marie",Nebraska,Wholesale,Laptop,Electronics,5,36605.00,183025.00,2025-12-26,2025-12-31,Delivered
11,2025-12-25,"Lisa Smith","Port Marie",Nebraska,Wholesale,Stapler,Office,5,2866.00,14330.00,2025-12-26,2025-12-31,Delivered
11,2025-12-25,"Lisa Smith","Port Marie",Nebraska,Wholesale,Table,Furniture,5,2897.00,14485.00,2025-12-26,2025-12-31,Delivered
11,2025-12-25,"Lisa Smith","Port Marie",Nebraska,Wholesale,Desk,Furniture,4,28175.00,112700.00,2025-12-26,2025-12-31,Delivered
12,2025-08-05,"Melissa Hess",Michellechester,Kentucky,Corporate,Cap,Clothing,3,2150.00,6450.00,2025-08-07,2025-08-12,"In Transit"
12,2025-08-05,"Melissa Hess",Michellechester,Kentucky,Corporate,T-Shirt,Clothing,3,4519.00,13557.00,2025-08-07,2025-08-12,"In Transit"
12,2025-08-05,"Melissa Hess",Michellechester,Kentucky,Corporate,Shoes,Clothing,5,1083.00,5415.00,2025-08-07,2025-08-12,"In Transit"
12,2025-08-05,"Melissa Hess",Michellechester,Kentucky,Corporate,Monitor,Electronics,3,31582.00,94746.00,2025-08-07,2025-08-12,"In Transit"
13,2025-10-31,"Richard Gonzales","New Matthew",Texas,Retail,Stapler,Office,2,2866.00,5732.00,2025-11-03,2025-11-08,"In Transit"
